chr start end H3K4me1_EpiLC_rep1 H3K4me1_EpiSC_rep1 H3K4me1_EpiLC_rep2 H3K4me1_EpiSC_rep2 H3K4me1_EpiLC_rep3 H3K4me1_EpiSC_rep3 mCpG_EpiLC mCpG_EpiSC
chr4 116779430 116783933 16.775 14.785 13.003 7.9905 8.507 4.1055 29.89 39.885
chr9 78358581 78364177 10.7985 3.093 9.321 1.742 7.7965 1.219 58.93 86.045
chr7 3365837 3373244 13.095 9.218 9.3445 4.4375 6.965 2.366 39.685 70.125
chr1 136687395 136692210 7.1165 6.164 4.601 4.176 3.554 3.113 53.445 89.085
chr11 8633457 8640864 6.569 5.7495 5.326 2.8235 4.0815 1.4955 82.995 91.7
chr1 136565235 136571848 10.0585 3.9125 8.4575 2.8035 6.301 2.109 47.395 84.815
chr2 59616043 59638748 8.623 7.6885 5.667 3.1355 6.938 1.39945 74.52 96.84
chr3 31002340 31008722 8.0575 6.089 7.158 3.8945 6.6085 2.079 67.64 86.745
chr3 104793057 104797579 17.13 16.73 11.455 5.874 10.6925 2.821 46.95 71.17
chr3 34752217 34768074 9.784 3.4425 7.74 2.199 8.8475 1.7665 51.26 89.525
chr18 65565065 65567813 10.1565 6.7275 8.56 4.313 6.8285 2.5635 28.79 71.07
chr12 73082381 73091600 10.6495 7.2425 8.7765 3.9725 6.9305 2.493 49.38 74.94
chr4 125727830 125730177 13.64 11.5925 10.6575 7.054 6.5065 4.0115 37.945 48.175
chr7 25274030 25278178 10.265 13.75 6.4305 9.473 5.914 3.6015 68.94 69.935
chr10 81278013 81287267 10.4075 2.353 5.8885 1.7935 4.008 1.8325 71.62 85.085
chr1 171441534 171443327 15.055 9.817 8.189 6.577 7.522 3.446 35.395 93.625
chr6 67144319 67149397 13.015 10.922 9.648 6.1955 9.0325 4.296 22.057 69.37
chr11 103402701 103408687 7.4465 7.8525 6.662 5.03 6.5595 3.1255 67.82 94.89
chr3 52398960 52406314 9.546 6.9365 6.6485 4.924 4.943 2.6545 70.765 58.29
chr17 53570970 53572380 10.58 6.5865 8.1175 2.89 5.9985 2.1035 63.085 87.9
chr2 154416628 154432480 3.8205 1.594 3.561 1.5678 3.805 1.633 68.83 97.515
chr11 60431627 60445529 12.136 13.225 11.125 8.11 8.8745 4.082 55.61 51.105
chr5 110434729 110441162 15.365 14.795 9.843 5.4075 9.0175 3.586 43.1 62.64
chr7 27308226 27311218 10.3205 11.9185 6.077 6.8825 3.583 3.0925 6.441 42.09
chr7 116262194 116265376 18.91 13.86 11.82 7.746 8.7625 5.226 78.57 78.265
chr6 122711567 122717799 13.9165 14.27 11.183 5.8275 9.3775 4.1635 51.61 70.205
chr11 62491830 62503467 5.8315 3.5795 5.357 3.9385 5.701 1.3485 61.905 95.005
chr2 122348790 122353488 7.45 11.18 5.708 3.553 4.1315 2.2335 76.375 88.545
chr6 122758472 122778471 10.2585 8.6095 7.4645 5.713 7.006 3.0855 48.45 78.23
chr4 133606168 133608863 10.1485 7.638 4.7685 9.4945 4.279 2.803 76.175 89.305
chr18 65607833 65618110 7.6055 5.1885 7.127 4.346 5.8905 2.3195 74.825 84.235
chr4 83314699 83317937 12.755 7.0605 8.249 4.745 7.8765 2.192 50.7 73.685
chr1 180920324 180931021 10.956 15.155 9.4705 8.1245 6.176 5.818 47.255 41.47
chr5 110466380 110472785 11.332 9.181 8.363 1.654 5.835 1.791 65.77 83.355
chr7 27490909 27493205 10.6735 9.761 6.277 6.513 4.7065 2.666 43.56 44.3935
chr16 13734983 13757145 2.1055 1.344 2.588 0.909 2.4155 0.9436 86.805 95.85
chr11 62507109 62514919 10.1845 8.844 9.2745 5.518 6.5065 3.2625 39.89 80.205
chr15 25739437 25741260 16.055 12.185 13.11 3.7865 10.303 3.802 9.93 66.34
chr4 83254456 83260175 14.13 10.7905 9.046 3.8465 7.657 2.9825 35.725 76.645
chr2 163048365 163050686 4.2 3.067 2.702 1.435 2.98 0.7609 68.75 93
chr19 25477410 25493050 5.1895 1.1522 4.709 1.714 6.478 1.2903 74.93 95.82
chr16 22503796 22507300 15.145 12.6055 13.25 5.6095 8.475 3.548 54.115 57.595
chr8 44968722 44982791 4.8305 3.4275 4.1085 4.354 3.5165 1.957 77.91 96.135
chr14 20213498 20221104 12.26 8.095 7.552 5.202 6.0025 3 41.05 62.84
chr7 27361419 27361466 9.0175 6.925 4.6655 3.929 4.3485 2.1235 31.435 29.272
chr10 81361490 81361816 4.825 10.2695 3.7225 6.343 2.783 2.8555 87.915 90.5
chr14 99332538 99343318 8.189 5.1345 8.444 4.414 4.657 2.421 79.085 90.32
chr6 67031042 67032598 7.1665 7.423 5.5055 3.833 4.29 2.0465 78.185 91.865
chr16 21999542 22002014 8.3815 4.325 5.5725 3.901 4.317 2.2645 58.81 93.45
chr10 62884014 62888014 4.0791 1.0973 2.589 2.7515 1.83 2.196 8.528 12.9975
chr17 53558471 53562970 6.5225 4.122 5.9245 1.847 5.102 1.395 49.395 89.66
chr15 55266603 55273056 4.3875 3.666 4.584 2.078 2.634 1.415 72.66 76.92
chr2 163058686 163064089 12.542 11.79 8.9465 4.088 8.4315 2.5905 62.35 91.25
chr19 47019153 47020431 11.245 7.0115 8.6825 2.2868 5.9595 2.6045 51.165 59.935
chr1 13072837 13083752 7.3255 3.5145 6.1635 3.302 2.324 1.976 59.47 84.76
chr12 76544858 76559785 1.7945 2.6285 1.385 2.425 2.0365 1.15005 77.365 95.77
chr4 132514501 132517060 5.4915 4.7105 5.4035 1.7475 3.4205 1.7715 38.415 44.2112
chr13 97075642 97078400 7.0135 3.2035 5.437 2.058 4.811 1.7545 73.66 87.79
chr10 62903118 62903519 9.9955 3.4535 9.5715 5.5415 6.331 3.173 52.395 90.04
chr4 133820419 133823024 10.379 8.1355 6.4075 4.722 4.854 2.5705 48.57 63.86
chr9 73078240 73096567 10.934 7.91 6.7615 3.238 4.6285 2.204 59.86 76.105
chr5 115315495 115319844 15.29 11.69 9.2835 7.2625 8.131 3.928 32.565 18.775
chr7 35322440 35323737 12.22 9.703 9.7465 6.5955 6.24 3.348 21.875 26.8515
chr9 121371015 121374575 16.855 13.1275 10.05 8.1115 7.8 3.8225 41.305 18.844
chr1 36611180 36613725 7.1725 4.6135 5.148 2.16595 3.743 1.946 87.15 94.19
chr19 23094173 23096002 6.472 2.0005 6.676 4.1825 4.5965 3.07 56.035 97.19
chr1 71643045 71648836 8.409 2.832 9.1875 2.1125 6.934 1.1545 46.875 83.625
chr19 23087053 23091433 3.8645 1.6225 4.1575 2.8235 3.5305 1.21595 60.41 92.13
chr7 81475670 81489706 9.961 6.9865 6.239 6.4985 5.1465 2.52 48.195 76.845
chr1 164488613 164496848 4.92 2.3696 6.643 2.704 2.9605 1.11065 68.715 93.335
chr6 143157931 143163220 0.79445 0.92505 2.073 0.784 2.0025 1.172 86.005 94.46
chr7 116219413 116222067 7.912 6.3655 4.745 4.3645 4.2515 3.013 67.055 84.355
chr5 104440903 104445324 9.0065 8.14 8.0855 5.527 5.327 2.6105 46.785 81.105
chrX 58037497 58043449 7.3455 7.0455 6.6195 4.855 4.3715 2.672 29.555 44.27
chr16 48605317 48616579 5.6985 1.60415 6.144 1.823 4.0175 1.2752 43.185 92.565
chr11 97655522 97656327 7.0055 4.872 5.3495 4.241 5.2095 1.8655 77.825 86.425
chr11 88377094 88382284 15.105 11.588 9.5155 5.3185 8.23 3.2445 69.69 61.83
chr7 107234674 107239021 7.0215 4.079 8.519 3.2165 6.907 1.4855 40.67 67.165
chr3 52412434 52414449 11.395 13.665 7.806 6.2115 6.0365 4.1035 40.385 36.665
chr1 136705305 136708539 10.3395 7.119 9.212 2.83 5.711 2.298 44.24 95.695
chr8 84913205 84918063 7.228 2.1415 5.7465 3.0865 4.9585 1.703 70.18 93.335
chr7 19685479 19688604 6.195 7.428 5.4825 3.4665 4.6 2.146 55.835 76.265
chr6 143148313 143148581 2.8058 3.8567 2.854 2.17755 2.971 1.16485 78.425 88.94
chr17 31801914 31812981 6.1625 7.646 4.9925 4.645 3.584 3.1295 63.74 70.5
chr11 88930471 88943087 9.6145 6.3185 6.244 4.5345 5.307 2.9065 40.03 60.53
chr2 154462898 154469583 8.2745 9.358 7.015 6.0055 4.9245 3.4855 65.425 74.76
chr15 55275756 55284853 9.648 5.0125 5.4915 3.161 4.1835 1.833 33.82 94.965
chr6 121109296 121110815 3.907 3.7085 3.5525 2.757 2.3655 1.6965 8.8915 11.1695
chr11 88948115 88951465 12.96 9.8365 8.5245 5.9725 6.6865 2.0375 58.855 82.21
chr6 67109462 67114928 10.16 6.956 7.962 3.282 5.848 1.5045 50.765 91.955
chr7 116286885 116289252 8.281 9.756 7.3565 5.4875 5.8565 1.948 81.02 83.72
chr2 152097187 152099636 4.669 1.8835 3.138 1.443 2.711 0.7373 75.81 92.99
chr10 95299981 95304798 4.845 6.509 5.097 4.3435 4.5585 2.7445 69.62 60.8
chr7 80010497 80020813 6.135 2.0935 5.254 3.302 3.7375 1.736 66.975 91.015
chr15 81479414 81482485 9.8965 6.7995 7.565 3.4615 5.4005 1.801 45.045 91.95
chr6 122719164 122719587 1.677 2.696 1.959 0.83725 2.265 1.0278 75.285 74.335
chr11 8565713 8591567 2.0765 2.4465 3.157 1.5875 1.9515 1.4475 85.975 91.91
chr4 135543934 135552099 7.7885 11.885 5.8675 7.1905 4.9385 4.602 63.91 78.41
chr9 121308061 121320812 12.165 9.443 7.0845 7.253 5.872 3.534 27.195 24.1006
chr3 103145729 103147226 12.315 10.7825 8.6925 7.9265 5.9955 3.0525 39.23 77.655
chr13 52560754 52565517 8.0975 5.7815 8.7625 3.056 5.906 1.31195 60.92 76.005
chr18 65520057 65522146 10.233 10.1865 7.6745 7.391 7.3405 2.8495 67.3 68.065
chr7 116205325 116208392 7.9735 6.9695 6.481 5.1365 5.0915 2.639 58.735 74.06
chr4 133596684 133598168 3.126 2.309 2.916 2.3675 1.47655 1.278 79.375 97.305
chr8 22425707 22428298 11.635 3.296 8.787 1.508 7.6835 0.96495 41.465 96.33
chr9 121354409 121356770 2.784 8.4865 2.794 2.8155 2.6305 1.8975 83.45 83.29
chr15 99834777 99835975 5.392 3.3415 5.6265 3.8025 4.15 1.5275 69.205 87.11
chr18 65592170 65593997 6.284 6.482 5.44 5.38 4.0005 2.2015 80.635 93.57
chr8 44958314 44965272 4.6075 2.6335 4.6825 2.7095 4.267 1.041 86.18 94.25
chr14 105857947 105866235 5.812 2.9155 4.969 3.2685 3.543 1.7405 69.765 86.13
chr15 25779086 25791326 4.5125 2.611 4.2475 0.8384 3.4195 0.7172 88.02 89
chr2 59598266 59600715 11.655 11.745 8.657 3.8135 7.4635 3.175 80.545 69.17
chr8 107395986 107398262 8.5865 7.7265 6.7135 2.624 5.442 1.53685 80.15 87.885
chr13 75843867 75845583 3.747 3.974 3.7265 4.9495 2.4195 1.6185 88.505 91.065
chr5 110414610 110419651 21.675 17.13 12.205 9.274 8.179 4.723 60.255 34.84
chr4 149752517 149753533 9.0515 8.923 6.422 3.6605 5.5545 2.283 55.185 71.75
chr9 42108507 42111750 12.32 11.2725 9.9885 9.0925 6.83 3.6365 57.795 64.515
chr2 135658185 135659119 5.3186 3.25955 4.1993 2.3651 3.3417 1.26385 11.935 14.285
chr10 95173180 95177520 10.8265 3.984 7.201 2.863 6.486 1.3383 53.815 88.745
chr16 35961678 35970088 5.362 6.7815 4.0065 3.3695 3.481 2.0625 58.23 82.255
chrX 58018926 58020815 4.8785 4.0655 4.277 2.199 2.11445 1.7755 10.392 82.75
chr2 31453071 31455999 9.1635 13.345 6.8055 4.8425 4.6805 2.449 64.905 70.92
chr11 66919087 66924192 6.9505 5.2825 6.0425 2.26525 4.9135 1.564 81.315 97.31
chr6 124745374 124746613 9.0505 7.6555 4.4535 5.5735 3.4115 2.3105 21.455 21.705
chr12 86489055 86508577 10.0555 6.137 7.1005 2.85 6.338 1.588 47.225 60.52
chr1 72182140 72185183 9.823 8.6615 6.6605 4.972 5.0875 2.9615 65.97 65.89
chr1 164453008 164454355 5.7135 2.3125 4.5085 1.71 3.678 1.3075 74.485 94.76
chr11 4859807 4864399 10.903 5.264 8.895 2.534 6.107 1.829 57.355 91.21
chr16 13974907 13978032 8.699 7.888 8.7945 5.7345 5.974 2.843 60.73 83.125
chr11 67041883 67044893 9.4995 9.1815 7.9545 5.745 4.8785 3.727 53.585 88.34
chr18 65596281 65599160 4.8275 4.755 4.415 5.5335 4.1705 1.71 81.75 97.565
chr7 25082827 25088198 1.435 2.173 0.7584 2.571 1.0955 1.067 83.905 93.365
chr15 55137856 55146770 6.727 11.645 6.423 9.4435 4.574 3.4575 84.79 77.83
chr1 164372323 164378880 6.3405 4.3725 6.795 2.1655 4.9665 1.7465 63 91.52
chr18 33930340 33935839 9.389 1.7405 7.915 3.2765 7.6585 1.6195 57.815 87.815
chr3 30722185 30725831 11.18 8.723 9.7625 3.7535 6.166 3.238 62.48 58.94
chr12 110700395 110718373 1.4825 1.2385 2.3135 1.706 1.4905 1.2725 87.08 90.69
chr11 62517712 62518740 3.9305 2.409 2.9475 0.91695 2.3315 0.74865 75.19 84.33
chr4 127200226 127201967 6.127 2.4465 3.7045 0.62315 4.8455 0.8571 67.075 97.335
chr1 180910543 180915904 4.326 5.545 4.189 3.7295 2.9875 1.4345 88.775 80.4
chr6 143107227 143110208 9.455 1.9855 8.0385 1.00325 6.604 1.0585 54.195 89.175
chr1 75227654 75228090 6.8705 7.656 5.346 2.6375 3.7555 2.204 70.635 86.64
chr10 68133849 68149932 4.5205 3.3475 4.553 1.774 3.7025 1.42985 66.545 92.295
chr10 95452973 95458402 5.253 2.6315 6.393 3.4475 4.659 1.8245 68.275 89.435
chr8 11641281 11641977 3.8265 2.5245 3.8785 1.08025 2.948 1.4538 81.82 77.92
chr15 8696387 8702787 8.064 4.503 5.9765 4.439 6.0255 2.2835 64.745 95.535
chr7 107660761 107665891 2.02 5.8845 2.4695 3.5805 2.384 1.401 92.74 85.04
chr10 81553483 81555493 4.9425 2.0945 3.7325 1.21565 3.703 1.636 72.625 88.235
chr2 29064261 29066854 8.328 7.555 6.7935 5.2135 4.5975 2.21 66.71 92.065
chr6 122685769 122703488 5.6255 5.3995 4.9785 1.96905 3.817 2.4965 64.985 85.475
chr4 83328255 83332382 8.0865 6.1305 5.072 3.9635 4.124 1.828 29.105 81.685
chr14 99324225 99325553 6.78 8.8115 6.8415 6.0185 4.5045 2.1595 73.87 88.075
chr7 127222498 127229060 4.634 4.572 3.7645 3.461 3.358 1.528 67.5 92.125
chr15 79883568 79883865 5.694 6.0215 5.7405 3.7975 3.857 2.3875 24.03 23.75
chr9 53753963 53759870 6.537 7.81 4.8165 4.495 3.3095 2.1835 17.8 41.425
chr2 164452142 164452975 9.6185 7.7435 6.017 2.83 5.6795 2.372 69.32 83.705
chr17 28929909 28930420 6.6525 5.159 6.289 3.651 3.6765 1.884 67.79 87.635
chr2 163030321 163033958 9.535 4.4945 7.509 2.795 5.4785 1.3635 47.15 81.435
chr1 135185446 135200720 4.047 4.2895 3.4615 2.462 2.1925 1.7975 71.96 90.035
chr7 47015468 47018107 2.177 2.7305 1.9975 1.1745 1.6905 1.2435 79.62 74.275
chr7 4537164 4537389 8.387 7.0875 6.826 4.213 5.189 3.061 57.69 87.54
chr7 139914492 139916736 10.983 10.075 8.465 5.4395 4.7155 3.258 19.0345 48.15
chr11 60421745 60424910 9.928 8.94 7.9255 3.8425 6.6195 2.764 50.81 60.92
chr6 143139449 143146559 5.0875 2.373 4.3875 1.524 4.336 1.2305 65.54 90.505
chr10 44453554 44454687 1.16615 2.6695 1.3 3.8995 1.577 1.745 89.99 95.53
chr8 107407206 107408527 3.5725 4.764 3.223 2.7385 2.333 1.4775 75.455 94.065
chr4 83301002 83302925 4.8785 4.1555 5.72 3.7125 3.6555 2.003 80.59 93.535
chr4 133833241 133833884 3.767 3.489 3.1875 2.196 2.517 1.426 49.72 76.855
chr4 11145707 11148729 8.8425 8.9765 7.261 4.7715 5.8015 2.415 62.395 92.435
chr1 118642404 118653078 6.037 8.1035 5.822 4.2985 4.4295 2.1085 74.825 85.82
chr13 75872564 75877811 4.164 4.0555 2.92 4.787 2.4845 1.6565 70.185 95
chrX 144333168 144340091 5.842 2.2075 4.8575 2.85 2.829 1.381 38.57 43.275
chr9 99150359 99164573 2.62765 3.7565 2.2204 4.5665 2.14 1.7868 68.08 86.32
chr6 143114279 143116798 9.0945 4.48 5.5945 5.085 5.1125 3.682 33.59 76.96
chr4 133839273 133843921 9.596 6.2725 6.088 5.001 3.8675 2.24 45.165 67.985
chr4 143294262 143295463 3.5295 3.5855 3.415 2.441 2.3675 1.3705 76.825 87.4
chr1 134344820 134345710 3.9675 7.2175 3.9835 4.6305 2.242 1.71 50.745 70.09
chr12 76537559 76542183 1.07435 1.18525 1.6125 1.36855 1.2467 1.0793 91 100
chr3 34732555 34739554 4.385 2.1034 3.66 1.64095 2.771 1.3635 68.515 89.57
chr9 73028292 73029348 8.6265 4.4345 3.972 4.212 3.239 2.3965 78.645 89.015
chr7 35380694 35390826 1.696 1.7245 1.3895 0.983 1.72 0.85285 64.465 90.315
chr17 57069326 57073051 8.541 6.1575 6.319 3.112 4.347 2.296 44.93 45.943
chr14 21471200 21482420 1.7235 0.65725 1.0663 0.86365 1.202 0.98385 84.095 92.26
chr4 53464784 53467588 7.2215 4.1385 7.1395 3.8785 6.0565 1.7175 70.68 93.385
chr14 21495532 21495769 2.4905 1.2655 2.324 1.721 2.485 1.5875 78.23 86.645
chr9 57496241 57500101 1.8385 2.4695 1.99 1.156 1.4535 0.7863 88.055 94.18
chr14 52244668 52245202 5.619 4.5135 4.8465 3.481 3.4785 2.0335 16.829 36.278
chr16 14122922 14124631 11.925 4.6295 10.4125 1.686 6.212 1.5043 80.86 87.73
chr10 95217686 95223726 2.996 1.892 2.6195 1.334 2.6095 1.0323 66.89 92.035
chr10 18329264 18330224 11.1285 9.0485 5.949 6.7815 5.573 2.9565 45.195 28.545
chr14 21484564 21487428 3.648 1.20565 2.901 0.7854 3.4865 0.9526 49.53 96.325
chr13 6634625 6640254 2.766 6.433 5.369 2.118 4.0015 1.15995 82.64 85.94
chr13 75797495 75800708 4.364 5.0125 4.4695 2.9295 3.0575 1.976 76.505 93.36
chr13 97206583 97209031 6.7405 3.6445 5.589 2.6935 3.2885 1.996 76.53 88.84
chr12 110416641 110420034 7.195 7.7255 5.183 3.4625 3.686 2.3005 40.235 64.795
chr1 131143756 131149180 3.355 2.5585 2.8565 1.306 2.4555 1.369 74.225 93.375
chr12 111659878 111668338 10.189 11.71 6.0365 9.1545 4.695 4.1125 63.22 74.865
chr17 45609312 45611458 8.514 9.393 6.41 6.3245 4.9665 3.1095 59.6 81.375
chr15 79903514 79906890 4.932 6.8115 3.65 4.527 3.293 2.126 65.335 75.635
chr19 14833728 14837687 8.9 2.4965 8.376 2.5565 5.1985 1.7665 48.415 78.965
chr2 164871397 164875364 6.2555 6.9485 4.0315 3.5275 4.5415 1.9942 79.625 81.71
chr8 116947392 116951591 1.888 3.499 2.272 2.142 1.56 1.8925 75.29 94.53
chr9 53794510 53799555 4.6655 6.614 5.817 1.4485 5.469 2.0195 88.25 92.545
chr3 34742394 34748486 5.91 2.9415 4.7265 2.611 4.29 1.242 47.265 92.615
chr14 52058299 52061121 6.532 2.6005 4.1575 1.6015 5.0635 1.675 58.205 75.12
chr2 91704231 91706519 1.496 1.2885 2.7975 0.8437 2.234 0.879 80.07 91.045
chr3 41497190 41498103 5.7805 2.94 4.554 2.1255 3.699 1.444 49.325 92.26
chr6 122669654 122670905 5.5995 6.0775 4.4245 2.5295 3.4305 2.8005 44.21 70.515
chr7 4540619 4542567 2.7172 1.54165 2.4475 1.29555 1.5035 1.452 53.915 88.435
chr1 136939441 136942104 3.5655 5.5795 2.9165 1.8773 2.25 1.8875 80.9 88.55
chr9 121329354 121353355 1.2647 1.6035 1.0769 1.40845 2.179 1.02865 77.89 94.815
chr4 136315267 136319498 6.4345 5.568 4.299 3.639 2.9545 2.392 68.855 87.07
chr10 63365802 63367758 7.638 2.613 6.3745 1.0628 4.986 1.6485 19.19 89.36
chr17 45453584 45461541 7.9965 6.9865 6.2075 1.6765 4.475 1.814 64.005 79.73
chr8 45232039 45236663 4.271 2.1655 3.908 2.62 3.3535 1.275 82.6 91.7
chr4 10911969 10914695 6.8805 7.7315 6.9575 4.426 4.351 2.831 67.19 69.575
chr8 60967702 60970418 4.0045 5.197 4.445 3.654 3.2625 2.134 78.475 94.63
chr1 86184924 86190107 5.115 2.495 3.5525 2.823 3.5795 1.242 80.13 87.75
chr14 73389271 73389420 5.3545 4.5445 2.9955 4.5705 2.8525 1.5965 59.94 71.46
chr11 60291474 60298824 5.2925 9.8165 3.5645 3.243 2.727 2.614 68.96 87.41
chr7 3191862 3194966 5.0285 2.3275 4.2405 1.5025 3.623 1.4652 47.015 88.735
chr12 73094955 73097987 2.5505 1.3865 2.631 1.13615 2.2765 0.7487 79.605 93.3
chr7 19669126 19669565 5.891 5.185 4.0915 2.916 2.914 2.2085 28.24 34.035
chr10 68282925 68283086 3.935 4.2625 2.534 2.631 2.389 1.8145 33.565 25.59
chr16 16824704 16825313 4.757 2.2679 4.656 2.4605 3.726 1.417 55.235 83.235
chr11 101616672 101621236 4.45455 4.515 4.0185 2.624 2.59885 2.01505 55.185 73.375
chr4 62685749 62688433 8.984 7.9215 4.7125 4.136 2.595 2.4975 81.785 83.84
chr13 52251332 52253577 7.3135 4.373 5.188 2.45 3.3705 1.9715 45.16 44.815
chr11 69564205 69568013 2.56 2.719 2.4745 2.911 2.428 0.8449 85.51 93.135
chrX 151040142 151042149 4.4415 3.536 4.2955 1.62775 3.3785 1.38645 49.465 80.635
chr11 62427478 62432655 4.227 2.34045 3.36795 0.94335 2.9175 1.1196 45.68 92.92
chr7 45474447 45475971 7.864 4.9645 5.3605 3.6615 3.3695 2.17 79.92 66
chr16 48301378 48306476 6.9055 1.5595 6.063 2.6835 5.8595 1.512 36.08 85.43
chr17 87875723 87879129 6.0415 6.9565 5.0835 3.4415 3.6265 2.2265 43.845 74.22
chr10 128600455 128608199 5.0565 3.7815 3.4375 3.1095 2.3935 2.03 94.18 93.37
chr3 95255193 95256293 1.8075 2.8605 1.7515 1.35505 1.4065 1.201 87.645 94.46
chr3 34695165 34701392 1.361 1.592 2.261 1.2675 1.591 0.9448 85.09 94.64
chr9 108300869 108301948 2.3595 4.2075 1.716 4.815 1.589 1.9585 79.825 92.585
chr4 53450682 53455208 5.1895 6.3655 5.3315 6.557 3.9115 2.1165 78.175 93.215
chr3 102212371 102215781 9.5175 6.7875 6.3095 5.838 6.7815 2.33 38.01 77.675
chr16 13720470 13724037 5.037 3.291 3.2915 1.511 3.3255 1.5203 65.045 69.17
chr7 3164231 3165203 2.9935 1.1675 2.7845 1.4935 2.551 1.3835 68.19 92.035
chr4 91344162 91349832 2.894 2.7825 3.658 1.03925 2.837 1.602 81.805 84.41
chr18 84939157 84946812 0.43115 0.71 1.15 0.35875 1.0697 0.5685 86.43 82.39
chrX 8216906 8225500 2.187 2.0955 0.9706 1.1955 1.3375 1.15295 78.95 84.855
chr1 164481338 164483726 6.9215 5.8755 5.8 3.7975 3.1805 2.216 74.18 79.26
chr2 122377524 122378556 2.272 1.769 2.001 1.76725 1.67 1.2374 17.205 6.285
chr17 57095653 57096276 6.174 5.262 3.7395 3.3805 3.418 2.3905 25.05 24.807
chr16 48628012 48631140 6.5785 2.259 3.9765 2.7185 3.1635 1.513 69.16 90.71
chr1 72203969 72207786 2.709 2.4915 2.408 2.9775 2.863 0.88075 77.985 89.965
chr3 10360572 10362906 2.7965 1.7243 2.4965 1.06965 1.8155 1.424 71.475 93.98
chr6 122470535 122472531 3.2085 1.1425 3.0025 1.0828 2.666 1.346 76.295 89.245
chr1 191931530 191931700 1.861 4.3695 1.929 1.807 1.747 1.448 70.075 77.8
chr9 57509942 57511321 4.9575 3.725 3.853 1.31655 3.379 1.5778 80.36 90
chr16 13763216 13767674 3.8375 1.6735 3.247 1.8665 2.1645 1.18055 69.84 91.89
chr16 13784698 13790076 2.453 1.1732 2.474 1.14275 3.9825 1.2095 85.535 93.155
chr10 88491557 88492022 3.297 3.431 2.9905 1.7869 2.431 1.5375 72.895 83.745
chr6 120939589 120941609 5.5175 3.7715 4.71 1.9275 3.234 1.3425 83.83 92.18
chr10 68156062 68158918 8.172 8.938 7.201 5.368 4.8855 2.405 60.595 76.75
chr15 81719792 81724586 1.6985 2.5685 1.7915 1.92 1.299 1.01965 83.61 98.165
chr11 89003375 89012458 1.02465 0.73865 0.82675 0.53815 1.1177 0.8965 67.65 75.565
chr10 88512409 88515996 6.296 4.2775 6.041 2.947 4.1795 1.345 74.345 92.235
chr2 164814088 164818685 3.3775 2.705 2.788 1.706 1.706 0.88335 81.98 96.295
chr18 33997645 33999973 5.968 4.4215 4.8295 2.8395 5.698 1.7405 84.515 69.7
chr15 55286525 55291399 2.964 2.63 2.1605 1.4085 2.2875 0.63675 78.19 96.595
chr2 172613279 172615370 10.2115 10.257 5.756 5.255 5.211 3.552 33.14 14.31
