chr	start	end	enhancer	ATAC_ESC	ATAC_EpiLC	ATAC_EpiSC	H3K4me1_ESC	H3K4me1_EpiLC	H3K4me1_EpiSC	H3K4me2_ESC	H3K4me2_EpiLC	H3K4me2_EpiSC	H3K4me3_ESC	H3K4me3_EpiLC	H3K4me3_EpiSC	H3K9me2_ESC	H3K9me2_EpiLC	H3K9me2_EpiSC	H3K9me3_ESC	H3K9me3_EpiLC	H3K9me3_EpiSC	H3K27me2_ESC	H3K27me2_EpiLC	H3K27me2_EpiSC	H3K27me3_ESC	H3K27me3_EpiLC	H3K27me3_EpiSC	mCpG_ESC	mCpG_EpiLC	mCpG_EpiSC	H3K27ac_ESC	H3K27ac_EpiLC	H3K27ac_EpiSC
chr1	89091896	89093063	EpiLC_enhancer	6.237	9.6255	7.3845	9.3615	16.07	12.255	4.8365	17.775	7.5335	1.83135	4.952	1.828	0.388	0.5858	0.76645	0.1619	0.20955	0.70545	1.9545	0.6436	0.5174	0.9104	0.4483	0.30645	9.051	32.51	82.32	1.5275	19.4	4.644
chr1	89100890	89102190	EpiLC_enhancer	4.8965	3.7172	3.3099	1.94495	2.73645	2.75895	6.1885	4.081	4.459	27.09	25.205	21.54	0.42905	0.40565	0.5127	4.946	4.2185	5.1375	0.36995	0.31665	0.4454	0.3923	0.5348	0.7331	18.19	13.54	78.74	20.465	17.63	11.425
chr1	89108023	89109733	EpiLC_enhancer	6.091	9.2665	10.6575	8.4695	19.02	17.86	3.57	8.553	7.397	0.99195	1.7395	1.3305	0.305	0.6498	0.58615	0.32375	0.4494	0.64355	1.7255	0.403	0.96895	0.5952	0.2556	0.4199	24.08	80.145	82.6	1.903	18.705	7.366
chr1	156613072	156616354	EpiLC_enhancer	8.7355	13.594	13.7565	10.79	11.181	11.2825	7.611	17.105	16.375	2.933	4.4625	4.588	0.28525	0.1964	0.4557	0.32375	0.3529	0.7044	0.6007	0.105535	0.38645	0.28745	0.36415	0.1584	6.584	27.605	20.183	5.08	23.705	13.6055
chr1	156660678	156664516	EpiLC_enhancer	1.6651	8.183	2.2645	4.4555	8.487	3.8475	1.8135	4.32	1.85855	0.98315	1.46065	0.78365	0.7604	0.84885	1.16135	0.658	1.32955	1.1225	1.29975	0.2463	0.5846	0.25025	0.29889	0.17605	43.1	43.38	91.56	3.328	15.967	3.424
chr1	156665790	156670536	EpiLC_enhancer	18.685	20.467	14.2455	13.005	15.66	14.875	15.165	11.6255	13.1175	6.4885	3.284	3.6437	0.2593	0.43975	0.7354	0.3058	0.35675	1.3835	1.0434	0.2463	0.7492	0.3057	0.3067	0.38305	1.9253	37.13	57.425	20.365	40.76	21.25
chr1	166154438	166154842	EpiLC_enhancer	23.1975	19.557	9.2595	9.2945	7.076	4.5805	23.77	22.91	5.911	21.165	14.6005	1.4107	0.28285	0.384835	1.1845	0.3661	0.2978	0.5924	0.44205	1.1578	2.1475	0.45655	0.67245	2.0955	0.38345	26.63	55.185	37.81	11.3125	2.0755
chr1	180886754	180890991	EpiLC_enhancer	47.83	35.265	26.265	9.4775	14.74	14.39	22.74	21.895	25.245	13.47	6.347	6.675	0.1037	0.20595	0.385	0.38455	0.4676	0.61235	0.55365	0.2079	0.45015	0.372	0.8651	0.1584	0.6587	9.6965	19.105	77.165	68.35	60.32
chr2	5043231	5046648	EpiLC_enhancer	14.543	15.2835	8.531	11.95	15.185	12.19	18.965	16.67	11.845	9.868	3.751	1.9495	0.19563	0.49755	0.5822	0.2441	0.5735	1.3452	0.31605	0.4894	0.3776	0.257	0.34605	0.2431	0.2633	22.995	53.71	40.225	32.865	20.35
chr2	5074991	5078304	EpiLC_enhancer	9.95	8.598	4.2992	18.73	11.645	5.6765	14.665	8.64	4.6765	4.498	1.48625	0.82695	0.5049	1.1878	0.97245	0.4881	1.8895	2.8085	0.54865	0.52265	1.21395	0.2908	0.32405	0.6556	0.15875	54.63	53.825	49.605	25.085	6.6115
chr2	24607588	24609644	EpiLC_enhancer	4.0855	18.0645	6.333	1.9415	13.27	6.434	1.829	24.67	4.1555	1.21265	11.3395	1.245	1.04045	0.7725	1.0377	0.9851	0.65395	0.587	0.9886	0.84895	1.926	6.62	0.8211	0.88405	21.45	55.175	87.825	0.64915	33.86	4.4405
chr2	24926668	24930749	EpiLC_enhancer	4.8915	30.935	10.4455	3.7695	13.54	12.71	2.0675	30.165	11.352	0.7885	12.265	1.863	0.51525	0.2496	0.8038	0.3262	0.8801	1.33035	1.7645	0.2079	0.797	1.04825	0.4326	0.51935	25.885	35.38	75.19	1.02425	68.79	10.421
chr2	38914500	38918673	EpiLC_enhancer	2.40365	6.01	7.5143	2.692	13.685	12.8185	1.276	8.559	13.195	0.62205	2.3925	2.9725	0.35595	0.2725	0.3312	0.35115	0.2123	0.39315	1.00635	0.4894	0.54865	0.90315	0.20845	0.3617	17.19	44.15	21.9335	0.553	17.55	15.65
chr2	49774810	49775929	EpiLC_enhancer	2.87645	4.979	2.09775	1.725	4.52	4.1285	1.0024	1.6445	1.2125	0.6308	0.31345	0.31345	1.211	0.9265	1.1266	0.92895	1.1154	1.349	1.09785	0.5796	1.356	0.45655	0.27605	0.7219	27.25	85.665	92.395	1.8115	12.66	6.2095
chr2	49860125	49865568	EpiLC_enhancer	1.16155	9.427	4.9715	1.3271	16.035	10.59	0.59025	5.441	6.456	0.4994	1.203	0.76275	1.1225	0.47845	0.871	0.3716	0.8824	0.6301	1.4585	0.35185	1.314	1.295	0.8274	0.69025	30.285	50.635	81.165	0.20015	32.01	12.12
chr2	49899317	49901903	EpiLC_enhancer	3.2695	13.6475	9.47	3.237	10.0525	7.575	1.7585	5.666	4.637	0.39425	1.4017	1.0971	0.9831	0.34115	0.7857	1.00375	2.52	4.5235	2.6055	0.49265	0.79325	0.7609	0.21625	0.56355	33.937	59.6	84.02	1.13255	32.41	11.51
chr2	49976073	49976638	EpiLC_enhancer	1.19175	3.9125	1.3557	0.389	5.863	0.86015	0.28615	3.691	0.392	0.26285	0.75745	0.25255	0.86275	0.45555	0.91735	0.4209	2.8975	1.7905	1.2915	0.5182	1.2506	0.6425	0.3028	0.92795	23.12	85.49	77.73	0.316	9.558	0.9519
chr2	50185917	50189564	EpiLC_enhancer	1.75515	16.756	5.69185	1.1712	10.49	6.4555	1.21625	7.13	3.9445	0.368	1.03585	0.83595	1.3885	0.55955	1.088	0.81705	2.275	0.93445	1.4105	0.45105	1.2627	1.15295	0.4837	0.72195	34.265	49.22	83.65	0.2304	31.61	3.4905
chr2	50276343	50277435	EpiLC_enhancer	4.0105	10.335	4.39	3.376	11.145	5.411	3.363	5.45	2.401	1.5255	1.2195	0.5668	0.4955	0.97965	0.9037	0.51305	1.205	1.187	1.371	0.3544	0.87015	0.6256	0.25955	0.523	24.6	73.96	86.84	0.81705	11.26	3.747
chr2	66090028	66094985	EpiLC_enhancer	3.1433	15.5805	3.7425	2.5065	12.0455	5.8645	1.065	8.0695	2.9465	0.3277	1.3335	0.35695	0.9594	0.34115	0.7519	0.45075	1.464	3.2035	1.446	0.3103	0.64365	1.6855	0.40895	0.3963	13.909	28.585	85.555	0.45295	32.88	7.8
chr2	68365391	68368446	EpiLC_enhancer	9.69	11.745	10.806	9.99	10.0835	8.0965	14.2225	20.715	22.6285	6.357	9.3755	12.798	0.33475	0.2238	0.43135	0.101095	0.28235	0.2962	1.163	0.66535	0.36755	1.6501	0.51515	0.51565	7.03	24.113	22.16	8.8915	20.715	17.285
chr2	69529899	69533551	EpiLC_enhancer	2.869	19.998	10.057	3.5165	11.1225	9.601	2.453	18.535	8.654	1.0162	5.6245	1.798	1.0585	0.176815	1.1412	0.43085	0.67	3.105	1.583	0.2111	1.224	1.3088	0.291	0.4383	30.5155	38.62	78.52	1.1818	55.59	13.7085
chr2	69590741	69593594	EpiLC_enhancer	7.072	9.806	4.909	4.985	9.563	5.5825	15.545	14.43	5.288	15.015	9.198	1.4456	0.9014	0.73265	1.4615	0.32624	0.5762	1.0581	0.64835	0.1407	1.4908	0.47685	0.3893	1.3275	6.16835	18.2	64.375	15.8	37.535	4.436
chr2	92055450	92056368	EpiLC_enhancer	8.338	13.0535	17.365	5.163	6.9715	8.1855	7.739	16.87	22.155	3.7585	9.918	16.92	0.64355	0.37195	0.56335	1.67965	0.73395	1.2252	0.74495	0.8406	1.1478	13.455	8.653	12.064	6.3035	21.975	37.665	2.153	18.54	13.735
chr2	92143217	92144838	EpiLC_enhancer	10.4755	10.2785	5.065	10.6155	10.9595	7.292	8.872	10.29	7.858	3.219	2.1415	1.602	0.30645	0.1789	0.8596	0.42485	0.783	1.824	1.06895	0.6154	1.4735	0.56275	0.3028	0.5083	4.9135	23.33	58.555	19.665	18.515	8.3215
chr2	105113926	105115042	EpiLC_enhancer	10.1295	16.295	8.6405	7.7105	11.185	6.758	5.5945	11.869	5.4785	1.7785	2.8785	1.11625	0.61715	0.71185	1.258	0.37855	1.07705	1.0769	1.802	0.808	2.266	2.187	0.75895	2.595	7.8745	42.665	72.625	2.4175	13.575	3.033
chr2	118895878	118897635	EpiLC_enhancer	13.585	22.615	16.7005	8.4315	7.5385	6.164	21.725	41.215	37.715	16.245	40.615	33.18	0.12965	0.16475	0.51465	0.8819	0.2978	1.0045	1.0855	0.93105	1.26315	18.535	7.958	44.08	0.94385	13.351	8.3315	2.79	23.935	3.5435
chr2	118907909	118911220	EpiLC_enhancer	3.098	22.418	9.4985	2.875	12.126	11.325	1.214	24.325	9.79	0.6045	8.2625	2.2955	0.174925	0.19175	0.5543	0.14745	0.57075	0.46315	1.3855	0.3512	1.743	2.5175	0.46485	4.648	26.605	52.41	58.545	0.7308	52.275	5.9255
chr2	121642303	121643829	EpiLC_enhancer	16.955	11.3265	5.0295	8.3605	10.669	7.0645	6.1695	7.7855	3.81	2.3445	2.124	0.78365	0.4323	0.47925	0.7425	1.1975	1.402	2.8	1.7435	0.46255	0.797	2.3155	0.47585	0.24825	11.157	51.385	80.94	2.552	16.71	5.842
chr2	121764130	121765048	EpiLC_enhancer	2.46325	7.104	3.3772	2.2785	7.223	4.207	0.8881	3.6505	1.74575	0.3864	0.47015	0.095785	1.0251	0.5242	0.9816	0.43335	0.8475	1.6975	1.3455	0.1759	0.6702	0.52485	0.043256	0.316	25.14	61.395	77.115	0.474	13.395	2.7685
chr2	130351452	130352971	EpiLC_enhancer	3.106	10.1195	5.795	2.636	9.675	8.9335	1.3945	6.4855	5.3705	0.55195	1.2015	1.1495	2.0765	1.0863	1.701	0.89255	3.203	1.705	2.263	1.15015	2.4955	1.2825	0.43335	0.9598	22.775	65.83	78.645	0.8164	16.745	5.254
chr2	156642278	156644154	EpiLC_enhancer	33.305	17.381	9.9935	8.8045	18.385	14.39	24.295	21.105	16.205	19.31	4.6105	3.65	0.19093	0.572	0.71065	2.02915	2.2377	3.49265	0.34235	0.803	1.146	0.46195	0.42865	0.7322	0.51745	63.28	57.075	72.08	24.24	16.185
chr2	163433413	163435124	EpiLC_enhancer	3.9845	7.285	8.774	5.192	13.7	9.0385	2.8495	10.626	10.0115	0.8516	1.7065	1.6875	0.4823	1.2125	1.28095	0.24405	0.71185	1.41305	1.859	0.9137	0.95435	1.06325	0.42865	0.60035	14.805	66.06	82.65	0.710905	16.995	8.9635
chr2	163893610	163896282	EpiLC_enhancer	4.618	16.109	8.6145	6.9065	20.24	11.95	5.153	14.195	10.179	1.5595	2.577	1.8443	0.8699	0.57955	0.9579	0.3108	0.5404	0.48415	2.152	0.29235	2.168	1.602	0.4475	0.8066	17.3422	65.835	57.085	3.671	53.085	16.78
chr2	163913040	163914336	EpiLC_enhancer	2.56085	11.9895	2.5763	2.7825	16.985	4.3265	1.51405	16.34	2.1095	0.63255	5.2445	0.41795	0.7496	0.6278	1.0203	0.69635	0.5404	0.25205	0.948	0.75805	2.4595	7.2325	1.013	3.0535	15.51	52.585	76.58	0.4727	13.495	1.3198
chr2	174126216	174128022	EpiLC_enhancer	10.482	14.5265	9.6115	11.44	11.7	9.1155	10.5185	14.33	13.28	3.7235	3.9525	4.3975	0.7159	0.528795	1.1662	0.34865	0.76205	1.6445	1.6795	1.04655	2.1205	0.55125	0.56705	1.04165	7.366	40.12	32.905	12.14	28.33	12.765
chr3	10445424	10447311	EpiLC_enhancer	1.62985	10.7425	9.3795	1.1065	6.9485	7.369	0.56635	4.3535	4.8205	0.26285	1.3895	1.2275	0.9498	0.4285	0.78495	0.96875	3.7995	1.2475	1.616	0.6474	0.8259	0.257015	0.71195	0.5768	32.11	49.885	34.91	0.46285	18.455	3.622
chr3	10482106	10482769	EpiLC_enhancer	7.7935	7.02	2.6625	3.882	8.4545	3.607	5.9995	11.2445	2.8565	3.1265	2.5945	0.67915	0.40685	0.34035	0.63215	8.077	3.7385	6.169	0.2414	0.71525	0.74945	0.47005	0.475805	0.3978	43.86	73.785	93.195	23.48	13.3	2.795
chr3	10758035	10761790	EpiLC_enhancer	9.086	12.3435	4.3655	4.733	6.468	2.855	2.524	4.7955	2.5995	0.7903	1.595	0.46145	0.85895	0.30455	0.64035	1.22125	3.3905	2.8085	0.6032	0.189985	0.47665	0.25025	0.2658	0.358	12.7205	30.385	89.77	6.8975	31.745	11.13
chr3	37685824	37688101	EpiLC_enhancer	18.058	14.078	4.374	10.184	10.436	3.7335	17.5	21.095	3.0615	9.411	10.1535	0.66175	0.2409	0.49965	0.90625	0.3676	0.98335	1.36	1.1445	0.63525	1.522	0.95965	0.7316	0.8471	0.3762	50.69	85.31	13.205	20.635	1.7005
chr3	37704797	37705713	EpiLC_enhancer	12.069	11.4185	7.3845	8.357	11.49	6.3635	7.885	8.862	5.654	3.7455	2.882	1.0491	0.2782	0.52005	0.8348	0.1619	0.7582	1.5375	1.1003	0.4862	1.1945	0.3686	0.21625	0.523	2.076	14.512	80.35	9.1545	16.79	6.62
chr3	83866788	83868490	EpiLC_enhancer	4.5095	6.2105	5.147	4.412	5.085	4.036	2.627	2.045	2.332	1.4499	0.57305	0.7044	0.936	0.6286	0.9744	7.7565	5.211	4.029	0.75745	0.4037	0.97935	0.2198	0.80535	0.50755	61.845	74.325	97.3	12.4085	20.89	7.6315
chr3	83869528	83873880	EpiLC_enhancer	13.358	13.6385	3.5242	4.808	5.4375	1.991	7.132	4.9595	1.9305	3.8935	1.50636	1.14945	0.3324	0.161825	0.6537	7.381	3.577	6.1075	0.2069	0.1759	0.4218	0.27325	0.7314	0.52965	57.225	64.27	89.585	38.19	39.355	6.9395
chr3	83978410	83982279	EpiLC_enhancer	21.6125	20.815	22.365	14.4	15.4605	14.3695	12.5135	15.745	17.13	4.407	3.843	3.685	0.32955	0.359	0.79515	0.40345	0.499	0.6974	0.60445	0.3992	0.87725	0.39565	0.4412	0.36095	1.32975	30.085	41.35	19.11	44.44	29.125
chr3	87960158	87961058	EpiLC_enhancer	16.8275	19.599	20.835	3.775	9.0815	7.6145	12.4745	23.74	23.505	10.0075	17.415	17.175	0.289	0.21345	0.9296	0.2192	0.64905	0.64085	1.1073	1.877	2.03	5.8555	3.485	12.6405	1.8182	21.08	23.35	2.095	11.0025	7.702
chr3	88539548	88540357	EpiLC_enhancer	6.932	8.692	6.426	14.955	16.865	16.615	9.023	9.4065	11.645	4.1125	2.384	2.3385	0.3041	0.61235	0.8872	0.401	0.5266	0.3689	0.33295	0.486185	0.5751	0.253635	0.25955	0.2026	11.8455	45.375	53.66	12.5535	19.345	9.555
chr3	122308339	122309970	EpiLC_enhancer	15.386	16.008	14.3735	6.576	12.31	6.6945	4.3495	8.0725	5.459	2.82645	3.1951	1.9834	9.85845	8.606	7.6765	5.5877	12.9825	12.526	7.8325	8.4811	7.9275	5.1975	6.8741	5.1794	6.7995	54.13	85.75	1.87525	15.345	7.324
chr3	122430861	122436920	EpiLC_enhancer	34.33	26.4405	16.9775	7.2225	8.3255	9.745	24.905	22.025	18.915	17.12	8.591	4.9455	0.14613	0.17888	0.53235	0.29635	3.16235	4.852	0.3417	0.12794	0.32155	0.2908	0.16125	0.442	0	7.7695	78.33	69.13	54.01	33.85
chr3	127257308	127258336	EpiLC_enhancer	14.3325	15.3625	16.2315	5.554	5.2215	5.4345	11.0615	16.935	15.91	7.683	13.0225	16.57	0.7106	0.43685	0.54015	0.5972	0.4014	0.98335	1.3245	0.6417	1.167	1.0207	1.5935	1.0591	6.734	34.06	50.235	3.927	15.235	5.3695
chr3	127451749	127453459	EpiLC_enhancer	15.826	9.6165	8.3605	9.505	9.136	9.272	14.46	7.2865	3.9155	5.856	2.142	0.7018	0.25745	0.20425	0.6168	0.2072	0.24265	0.4012	1.0672	0.79715	0.60825	1.0558	0.77465	0.8685	1.765075	58.11	83.85	20.385	14.475	10.1155
chr3	127457161	127467251	EpiLC_enhancer	1.355	3.4825	3.6825	3.3915	11.465	11.0775	1.3642	2.853	4.818	1.1427	0.7105	0.66695	0.5129	0.2517	0.52605	0.21915	0.38875	0.54665	1.7305	0.35185	0.4301	3.034	0.5576	0.4457	33.565	45.065	63.24	1.2195	22.53	14.74
chr3	127529982	127530930	EpiLC_enhancer	7.966	7.806	9.705	6.191	8.051	8.8335	3.684	5.2195	8.447	1.5155	1.03235	1.567	0.59735	0.37065	0.7523	0.8688	1.11485	1.2713	0.70855	0.5374	0.5817	0.2333	0.61265	0.361	4.375	42.81	55.37	4.909	11.645	10.968
chr3	127540557	127541631	EpiLC_enhancer	1.91405	3.9375	6.9425	3.8415	10.2755	12.1475	1.6395	4.7965	10.655	0.6588	1.463	2.3285	0.38845	0.26045	0.4459	0.32625	0.30055	0.28005	0.9744	0.3167	0.4224	0.3179	0.3028	0.27995	16.6435	49.535	77.795	0.964	11.29	12.09
chr3	131019169	131020060	EpiLC_enhancer	6.1945	10.4325	3.713	7.6375	14.005	10.1565	7.6255	11.565	2.3815	3.8395	3.756	0.6844	1.0015	1.1189	1.288	0.73565	0.6617	1.1295	1.6855	2.0945	2.4145	5.459	1.4315	1.4135	12.778	57.61	76.035	1.2525	13.195	2.9065
chr3	131100966	131103835	EpiLC_enhancer	20.782	19.1215	13.986	11.0825	14.475	10.2665	9.1935	9.615	11.485	3.084	1.898	2.7165	0.28525	0.26	0.56965	0.56285	0.78025	1.12825	1.0281	0.44465	1.5785	1.6065	0.45615	3.4255	3.8625	29.06	34.4	12.565	34.82	14.175
chr3	131142923	131144465	EpiLC_enhancer	9.1545	14.653	14.731	8.437	16.21	16.27	3.907	19.535	21.055	0.66585	4.179	4.6875	0.4498	0.2725	0.79	0.7572	0.83435	0.6322	1.5915	0.40045	1.24765	5.275	0.4719	0.78165	3.09	30.13	37.44	1.02065	21.87	13.8
chr4	11393453	11395302	EpiLC_enhancer	2.4961	8.258	6.1925	3.5875	14.555	10.596	1.6935	12.275	13.34	0.6308	3.479	2.429	0.38095	0.3715	0.8749	0.3213	0.445	0.73185	0.87035	0.3378	1.0898	5.1205	0.4326	0.6814	13.514	46.165	74.94	0.2765	20.565	8.6565
chr4	59859474	59861836	EpiLC_enhancer	12.0715	18.6565	8.1405	10.98	17.495	10.595	10.8475	17.475	7.0285	4.4245	5.3155	1.1405	0.30645	0.5346	0.6659	0.43335	0.42185	0.49815	0.68035	0.34865	1.14765	0.4024	0.4798	0.162065	9.3452	32.73	81.055	8.324	32.895	4.675
chr4	74054066	74054502	EpiLC_enhancer	3.1805	4.463	1.33545	1.078	0.7898	0.5047	4.778	4.715	0.220525	10.95	8.593	0.2229	1.2338	0.56205	0.9006	2.9765	2.9595	1.756	0.809	0.7875	0.69965	1.0921	1.2388	0.69025	8.804	51.245	98.68	7.229	5.512	0.4861
chr4	74257316	74262044	EpiLC_enhancer	17.7205	16.5115	8.662	7.4125	7.75	8.4955	20.23	18.35	19.595	13.746	8.2085	6.487	0.08487	0.039525	0.62465	0.259	0.5321	0.95035	0.3762	0.12475	0.1593	0.2232	0.125855	0.095785	0	11.5305	43.514	63.75	49.925	30.115
chr4	86911535	86913003	EpiLC_enhancer	18.005	14.391	8.313	7.772	8.2985	5.377	13.143	14.2885	13.241	7.49	5.686	4.8495	0.31115	0.7235	1.03375	0.4015	0.33635	0.90165	0.43015	0.4094	1.712	0.28475	0.20445	0.6195	0.5653	34.645	73.83	22.3	18.09	6.233
chr4	86930658	86931502	EpiLC_enhancer	11.798	10.0285	4.3925	2.1785	1.905	0.99405	8.6625	8.7645	3.295	24.875	28.965	13.22	0.62465	0.60945	0.7759	1.63105	1.60755	1.9145	0.91855	0.33585	0.9526	0.73725	0.21625	0.7882	6.386	33.6325	85.7	11.2315	18.09	5.216
chr4	99560672	99563276	EpiLC_enhancer	8.1135	13.6875	13.3905	8.921	14.815	8.895	5.7805	12.3855	8.609	1.875	2.403	2.1035	0.31775	0.27915	0.7773	0.21915	0.3154	3.364	1.7765	1.1475	1.508	1.691	0.6811	4.8095	5.28075	40.98	32.075	2.0215	19.12	12.46
chr4	99572687	99573709	EpiLC_enhancer	6.998	10.472	2.9445	6.2815	12.77	6.0445	13.7	18.765	3.6345	8.744	8.383	0.5677	0.3027	0.42855	0.86565	0.43085	0.3165	2.4145	1.6075	1.2726	2.081	4.0905	1.64935	2.4915	2.748	35.895	26.345	4.243	17.9	5.954
chr4	99642369	99643217	EpiLC_enhancer	14.4515	18.144	10.022	11.6495	10.4295	8.5965	13.88	11.02	11.8635	4.363	2.8415	2.578	0.25225	0.25338	0.68025	0.4194	0.6468	1.54195	0.502235	1.41	0.9132	0.1082	1.4023	1.3905	0.18105	27.262	42.05	34.32	15.51	20.62
chr4	99649857	99650710	EpiLC_enhancer	12.011	14.1375	7.072	8.955	8.8435	5.18	24.37	25.07	14.2125	19.975	25.2055	11.3845	0.30265	0.3507	0.56255	0.136995	0.66445	3.917	1.0793	1.5605	1.5645	1.4635	9.297	17.5	0.49404	13.215	74.22	19.685	11.379	5.5375
chr4	111119738	111122377	EpiLC_enhancer	2.06345	10.321	4.445	4.0995	6.1395	5.4485	1.498	6.6815	5.3255	0.42055	1.25125	0.8795	0.94195	0.436	0.65335	0.527	0.9506	1.31015	0.612	0.10557	0.54515	0.1116	0.34605	0.16205	26.91	29.595	84.43	1.4618	19.08	7.7425
chr4	133020888	133022827	EpiLC_enhancer	10.813	21.2425	18.251	17.235	20.115	17.885	15.51	39.15	37.93	6.244	16.445	15.13	0.12728	0.2613	0.41955	0.27395	0.30325	0.52505	2.9955	1.19935	1.7905	1.1823	0.69605	2.8505	4.4969	31.44	17.335	5.389	19.27	11.9
chr4	133024743	133025801	EpiLC_enhancer	8.0215	10.6595	9.674	20.505	26.075	18.15	12.27	14.36	9.463	3.543	2.2115	1.698	0.36305	0.5479	0.68475	0.17535	0.4428	0.41465	1.2635	0.9831	1.801	0.6324	0.51515	0.68285	3.304	50.785	60.375	12.372	16.855	7.558
chr4	133031701	133033491	EpiLC_enhancer	11.3655	11.475	3.514	17.685	14.43	5.624	16.625	13.034	3.9585	5.4095	3.0855	0.3483	0.3088	0.69225	1.0491	0.3487	1.0723	1.2143	0.71485	0.451	1.2217	0.2604	0.5419	0.4081	1.197	43.285	92.555	26.425	26.81	3.646
chr4	133101608	133104876	EpiLC_enhancer	13.29	13.3105	10.0795	13.3025	13.07	13.32	18.701	13.183	10.575	14.3945	6.01	3.2687	0.29705	0.97275	0.8686	0.2441	0.44663	0.54175	0.30725	0.74085	1.658	0.257	0.2556	0.61955	7.40245	49.01	89.85	41.145	27.073	9.7155
chr4	134868276	134873356	EpiLC_enhancer	4.654	10.1225	4.6425	9.709	20.395	14.99	4.872	12.79	8.52	1.843	4.4575	1.635	0.13953	0.691	0.6329	0.51305	0.8387	0.72435	2.116	1.224	1.5975	4.707	1.06625	1.2625	16.505	21.59	64.1	2.9325	26.27	11.784
