chr	start	end	width	s	gene
chr13	6641371	6644381	3011	*	Pfkp
chr13	52251332	52253577	2246	*	Syk
chr13	52560754	52565517	4764	*	Syk
chr13	75797495	75800708	3214	*	Ell2
chr13	75843867	75845583	1717	*	Glrx
chr13	75872564	75877811	5248	*	Ell2
chr13	97075642	97078400	2759	*	Fam169a
chr13	97206583	97209031	2449	*	Hexb
chr14	20213498	20221104	7607	*	Kcnk5
chr14	20232390	20234663	2274	*	Kcnk5
chr14	21471200	21482420	11221	*	Kat6b
chr14	21484564	21487428	2865	*	Kat6b
chr14	21495532	21495769	238	*	Kat6b
chr14	51062892	51064771	1880	*	Ccnb1ip1
chr14	51897655	51903448	5794	*	Zfp219
chr14	52045091	52049315	4225	*	Zfp219
chr14	52058299	52061121	2823	*	Zfp219
chr14	52244668	52245202	535	*	Zfp219
chr14	63498733	63504357	5625	*	Tdh
chr14	70413684	70415656	1973	*	Slc39a14
chr14	73389271	73389420	150	*	Rb1
chr14	99263646	99280637	16992	*	Klf5
chr14	99324225	99325553	1329	*	Klf5
chr14	99332538	99343318	10781	*	Klf5
chr14	105192743	105196233	3491	*	Spry2
chr14	105857947	105866235	8289	*	Spry2
chr15	8696387	8702787	6401	*	Slc1a3
chr15	8829939	8835341	5403	*	Slc1a3
chr15	25739437	25741260	1824	*	Myo10
chr15	25756909	25776428	19520	*	Myo10
chr15	25779086	25791326	12241	*	Myo10
chr15	55137856	55146770	8915	*	Deptor
chr15	55196426	55210076	13651	*	Deptor
chr15	55223246	55225701	2456	*	Deptor
chr15	55266603	55273056	6454	*	Deptor
chr15	55275756	55284853	9098	*	Deptor
chr15	55286525	55291399	4875	*	Deptor
chr15	79883568	79883865	298	*	Apobec3
chr15	79903514	79906890	3377	*	Apobec3
chr15	81479414	81482485	3072	*	L3mbtl2
chr15	81510725	81526143	15419	*	L3mbtl2
chr15	81709002	81709795	794	*	L3mbtl2
chr15	81719792	81724586	4795	*	L3mbtl2
chr15	99834777	99835975	1199	*	Lima1
chr15	99856770	99858149	1380	*	Lima1
chr15	99864316	99867394	3079	*	Lima1
chr16	13720470	13724037	3568	*	Pla2g10
chr16	13720470	13724037	3568	*	Rrn3
chr16	13734983	13757145	22163	*	Pla2g10
chr16	13734983	13757145	22163	*	Rrn3
chr16	13763216	13767674	4459	*	Rrn3
chr16	13763216	13767674	4459	*	Pla2g10
chr16	13784698	13790076	5379	*	Rrn3
chr16	13784698	13790076	5379	*	Pla2g10
chr16	13803886	13807987	4102	*	Pla2g10
chr16	13949452	13953007	3556	*	Mpv17l
chr16	13974907	13978032	3126	*	Mpv17l
chr16	14017762	14022953	5192	*	Mpv17l
chr16	14031143	14032061	919	*	Mpv17l
chr16	14122922	14124631	1710	*	Mpv17l
chr16	16365937	16368885	2949	*	Fgd4
chr16	16566318	16567847	1530	*	Fgd4
chr16	16824704	16825313	610	*	Fgd4
chr16	16847769	16848926	1158	*	Fgd4
chr16	21833882	21837301	3420	*	Liph
chr16	21999542	22002014	2473	*	Liph
chr16	22392796	22419039	26244	*	Etv5
chr16	22503796	22507300	3505	*	Etv5
chr16	22515479	22519877	4399	*	Etv5
chr16	35948025	35953318	5294	*	Parp9
chr16	35948025	35953318	5294	*	Dtx3l
chr16	35961678	35970088	8411	*	Parp9
chr16	35961678	35970088	8411	*	Dtx3l
chr16	37788715	37791606	2892	*	Lck
chr16	38442663	38447739	5077	*	Pla1a
chr16	48296499	48299077	2579	*	Dppa2
chr16	48296499	48299077	2579	*	Dppa4
chr16	48301378	48306476	5099	*	Dppa2
chr16	48301378	48306476	5099	*	Dppa4
chr16	48314476	48315677	1202	*	Dppa4
chr16	48314476	48315677	1202	*	Dppa2
chr16	48605317	48616579	11263	*	Dppa2
chr16	48605317	48616579	11263	*	Morc1
chr16	48628012	48631140	3129	*	Morc1
chr16	84778385	84780912	2528	*	Jam2
chr17	28894725	28896555	1831	*	Mapk13
chr17	28929909	28930420	512	*	Mapk13
chr17	31801914	31812981	11068	*	Hsf2bp
chr17	35887892	35888821	930	*	2310061I04Rik
chr17	45453584	45461541	7958	*	Slc29a1
chr17	45609312	45611458	2147	*	Slc29a1
chr17	53558471	53562970	4500	*	Kat2b
chr17	53570970	53572380	1411	*	Kat2b
chr17	57046957	57047369	413	*	Crb3
chr17	57069326	57073051	3726	*	Crb3
chr17	57095653	57096276	624	*	Crb3
chr17	66477884	66486979	9096	*	Mtcl1
chr17	87875723	87879129	3407	*	Msh6
chr18	33799163	33799303	141	*	Epb41l4a
chr18	33930340	33935839	5500	*	Epb41l4a
chr18	33997645	33999973	2329	*	Epb41l4a
chr18	37900430	37902416	1987	*	Diaph1
chr18	65520057	65522146	2090	*	Zfp532
chr18	65565065	65567813	2749	*	Zfp532
chr18	65586937	65589052	2116	*	Zfp532
chr18	65592170	65593997	1828	*	Zfp532
chr18	65596281	65599160	2880	*	Zfp532
chr18	65607833	65618110	10278	*	Zfp532
chr18	82484542	82526669	42128	*	Mbp
chr18	82558507	82565760	7254	*	Mbp
chr18	84939157	84946812	7656	*	Fbxo15
chr19	14833728	14837687	3960	*	Tle4
chr19	23087053	23091433	4381	*	Klf9
chr19	23094173	23096002	1830	*	Klf9
chr19	25477410	25493050	15641	*	Dmrt1
chr19	47019153	47020431	1279	*	Ina
chr2	25377427	25382516	5090	*	Npdc1
chr2	29064261	29066854	2594	*	Setx
chr2	29139785	29144265	4481	*	Setx
chr2	31453071	31455999	2929	*	Ass1
chr2	33478081	33478492	412	*	Zbtb43
chr2	59522443	59524589	2147	*	Tanc1
chr2	59598266	59600715	2450	*	Tanc1
chr2	59616043	59638748	22706	*	Tanc1
chr2	91704231	91706519	2289	*	Atg13
chr2	122348790	122353488	4699	*	Sord
chr2	122377524	122378556	1033	*	Sord
chr2	135558569	135561104	2536	*	Platr3
chr2	135658185	135659119	935	*	Platr3
chr2	152097187	152099636	2450	*	Tcf15
chr2	154416628	154432480	15853	*	Cbfa2t2
chr2	154462898	154469583	6686	*	Cbfa2t2
chr2	163030321	163033958	3638	*	Gtsf1l
chr2	163048365	163050686	2322	*	Gtsf1l
chr2	163058686	163064089	5404	*	Gtsf1l
chr2	163072871	163077344	4474	*	Gtsf1l
chr2	164430420	164434713	4294	*	Sdc4
chr2	164452142	164452975	834	*	Sdc4
chr2	164814088	164818685	4598	*	Zswim1
chr2	164866774	164868000	1227	*	Zswim1
chr2	164871397	164875364	3968	*	Zswim1
chr2	172513444	172532330	18887	*	Tfap2c
chr2	172613279	172615370	2092	*	Tfap2c
chr3	10360572	10362906	2335	*	Chmp4c
chr3	10380071	10383183	3113	*	Chmp4c
chr3	30658074	30659293	1220	*	Lrrc34
chr3	30722185	30725831	3647	*	Lrrc34
chr3	31002340	31008722	6383	*	Lrrc34
chr3	34669242	34669394	153	*	Sox2
chr3	34695165	34701392	6228	*	Sox2
chr3	34732555	34739554	7000	*	Sox2
chr3	34742394	34748486	6093	*	Sox2
chr3	34752217	34768074	15858	*	Sox2
chr3	41497190	41498103	914	*	Jade1
chr3	52398960	52406314	7355	*	Foxo1
chr3	52412434	52414449	2016	*	Foxo1
chr3	83978430	83982345	3916	*	Trim2
chr3	95255193	95256293	1101	*	Gm128
chr3	102212371	102215781	3411	*	Vangl1
chr3	103145729	103147226	1498	*	Dennd2c
chr3	104793057	104797579	4523	*	Mov10
chr4	10911969	10914695	2727	*	Trp53inp1
chr4	11145707	11148729	3023	*	Trp53inp1
chr4	11370185	11371473	1289	*	Esrp1
chr4	53450682	53455208	4527	*	Slc44a1
chr4	53464784	53467588	2805	*	Slc44a1
chr4	53490372	53492636	2265	*	Slc44a1
chr4	56845493	56860948	15456	*	Ctnnal1
chr4	62685749	62688433	2685	*	Bspry
chr4	83254456	83260175	5720	*	Ttc39b
chr4	83301002	83302925	1924	*	Ttc39b
chr4	83314699	83317937	3239	*	Ttc39b
chr4	83328255	83332382	4128	*	Ttc39b
chr4	85288037	85290473	2437	*	Sh3gl2
chr4	91344162	91349832	5671	*	Elavl2
chr4	98844764	98848996	4233	*	L1td1
chr4	98863392	98865143	1752	*	L1td1
chr4	116779430	116783933	4504	*	Tesk2
chr4	125597944	125611567	13624	*	Grik3
chr4	125727830	125730177	2348	*	Grik3
chr4	126448935	126451844	2910	*	Ago1
chr4	127200226	127201967	1742	*	Dlgap3
chr4	127200226	127201967	1742	*	Zmym1
chr4	129549420	129551441	2022	*	Lck
chr4	132514501	132517060	2560	*	Sesn2
chr4	133596684	133598168	1485	*	Zdhhc18
chr4	133606168	133608863	2696	*	Zdhhc18
chr4	133612715	133615715	3001	*	Zdhhc18
chr4	133820419	133823024	2606	*	Zdhhc18
chr4	133833241	133833884	644	*	Zdhhc18
chr4	133839273	133843921	4649	*	Zdhhc18
chr4	135530425	135534022	3598	*	Grhl3
chr4	135543934	135552099	8166	*	Grhl3
chr4	136315267	136319498	4232	*	Tcea3
chr4	143294262	143295463	1202	*	Pdpn
chr4	149752517	149753533	1017	*	Slc25a33
chr4	151976518	151977972	1455	*	Nol9
chr4	151976518	151977972	1455	*	Espn
chr4	152082312	152082857	546	*	Plekhg5
chr4	152100718	152108401	7684	*	Plekhg5
chr5	75593969	75606111	12143	*	Kit
chr5	104440903	104445324	4422	*	Spp1
chr5	110414610	110419651	5042	*	Fbrsl1
chr5	110434729	110441162	6434	*	Fbrsl1
chr5	110466380	110472785	6406	*	Fbrsl1
chr5	110796508	110806053	9546	*	Ulk1
chr5	110796508	110806053	9546	*	Chek2
chr5	110814186	110815807	1622	*	Ulk1
chr5	110845371	110848940	3570	*	Chek2
chr5	115315495	115319844	4350	*	Pla2g1b
chr5	146393605	146395118	1514	*	Wasf3
chr6	40330838	40335805	4968	*	Agk
chr6	40348601	40352180	3580	*	Agk
chr6	67031042	67032598	1557	*	Gadd45a
chr6	67109462	67114928	5467	*	Gadd45a
chr6	67144319	67149397	5079	*	Gadd45a
chr6	67227904	67229763	1860	*	Gadd45a
chr6	91101741	91105561	3821	*	Nup210
chr6	120539436	120540444	1009	*	Cecr2
chr6	120920853	120924092	3240	*	Bid
chr6	120939589	120941609	2021	*	Bid
chr6	121109296	121110815	1520	*	Bid
chr6	122344561	122347339	2779	*	Gdf3
chr6	122470535	122472531	1997	*	Rimklb
chr6	122616090	122616833	744	*	Dppa3
chr6	122616090	122616833	744	*	Gdf3
chr6	122669654	122670905	1252	*	Nanog
chr6	122669654	122670905	1252	*	Gdf3
chr6	122669654	122670905	1252	*	Dppa3
chr6	122685769	122703488	17720	*	Nanog
chr6	122685769	122703488	17720	*	Gdf3
chr6	122685769	122703488	17720	*	Dppa3
chr6	122711567	122717799	6233	*	Nanog
chr6	122711567	122717799	6233	*	Dppa3
chr6	122719164	122719587	424	*	Nanog
chr6	122719164	122719587	424	*	Gdf3
chr6	122758472	122778471	20000	*	Nanog
chr6	122758472	122778471	20000	*	Dppa3
chr6	122758472	122778471	20000	*	Gdf3
chr6	124745374	124746613	1240	*	Ptpn6
chr6	143107227	143110208	2982	*	Etnk1
chr6	143114279	143116798	2520	*	Etnk1
chr6	143139449	143146559	7111	*	Etnk1
chr6	143148313	143148581	269	*	Etnk1
chr6	143157931	143163220	5290	*	Etnk1
chr6	146719177	146720994	1818	*	Tm7sf3
chr7	3164231	3165203	973	*	AU018091
chr7	3183743	3185448	1706	*	AU018091
chr7	3191862	3194966	3105	*	AU018091
chr7	3197330	3214625	17296	*	AU018091
chr7	3365837	3373244	7408	*	AU018091
chr7	4537164	4537389	226	*	Syt5
chr7	4540619	4542567	1949	*	Syt5
chr7	19669126	19669565	440	*	Apoc1
chr7	19669126	19669565	440	*	Klc3
chr7	19685479	19688604	3126	*	Apoc1
chr7	25082827	25088198	5372	*	Dedd2
chr7	25203679	25210674	6996	*	Dedd2
chr7	25274030	25278178	4149	*	Dedd2
chr7	27273867	27276872	3006	*	Ltbp4
chr7	27308226	27311218	2993	*	Ltbp4
chr7	27361419	27361466	48	*	Ltbp4
chr7	27490909	27493205	2297	*	Ltbp4
chr7	35322440	35323737	1298	*	Rhpn2
chr7	35380694	35390826	10133	*	Rhpn2
chr7	35380694	35390826	10133	*	Cep89
chr7	43165781	43168503	2723	*	Zfp936
chr7	45474447	45475971	1525	*	Hsd17b14
chr7	45558936	45561162	2227	*	Hsd17b14
chr7	47015468	47018107	2640	*	Spty2d1
chr7	80010497	80020813	10317	*	Zfp710
chr7	80010497	80020813	10317	*	Sema4b
chr7	80190840	80194440	3601	*	Sema4b
chr7	80220522	80222331	1810	*	Sema4b
chr7	81475670	81489706	14037	*	Ap3b2
chr7	107234674	107239021	4348	*	Rbmxl2
chr7	107534653	107537606	2954	*	Rbmxl2
chr7	107551888	107554572	2685	*	Rbmxl2
chr7	107660761	107665891	5131	*	Rbmxl2
chr7	107752287	107753370	1084	*	Rbmxl2
chr7	116205325	116208392	3068	*	Plekha7
chr7	116219413	116222067	2655	*	Plekha7
chr7	116262194	116265376	3183	*	Plekha7
chr7	116286885	116289252	2368	*	Plekha7
chr7	116324622	116327410	2789	*	Plekha7
chr7	127222498	127229060	6563	*	Mylpf
chr7	139914492	139916736	2245	*	Utf1
chr8	11641281	11641977	697	*	Ankrd10
chr8	13985095	13990228	5134	*	Tdrp
chr8	22425707	22428298	2592	*	Ckap2
chr8	43320326	43322424	2099	*	Zfp42
chr8	44958314	44965272	6959	*	Fat1
chr8	44968722	44982791	14070	*	Fat1
chr8	45009752	45010822	1071	*	Fat1
chr8	45232039	45236663	4625	*	Fat1
chr8	60870819	60871573	755	*	Clcn3
chr8	60967702	60970418	2717	*	Clcn3
chr8	84913205	84918063	4859	*	Dnase2a
chr8	105229144	105239206	10063	*	D230025D16Rik
chr8	107395986	107398262	2277	*	Wwp2
chr8	107407206	107408527	1322	*	Wwp2
chr8	107413596	107415968	2373	*	Wwp2
chr8	107447635	107450885	3251	*	Wwp2
chr8	107517656	107521456	3801	*	Wwp2
chr8	116947392	116951591	4200	*	Atmin
chr9	31008621	31021440	12820	*	Zbtb44
chr9	42108507	42111750	3244	*	Sorl1
chr9	48989384	48992959	3576	*	Usp28
chr9	53753963	53759870	5908	*	Slc35f2
chr9	53787975	53791597	3623	*	Slc35f2
chr9	53794510	53799555	5046	*	Slc35f2
chr9	57496241	57500101	3861	*	Rpp25
chr9	57509942	57511321	1380	*	Rpp25
chr9	58264938	58281605	16668	*	Stoml1
chr9	58264938	58281605	16668	*	Pml
chr9	72995510	72997102	1593	*	Ccpg1
chr9	72995510	72997102	1593	*	Ccpg1os
chr9	73028292	73029348	1057	*	Ccpg1
chr9	73028292	73029348	1057	*	Ccpg1os
chr9	73048856	73074505	25650	*	Rab27a
chr9	73048856	73074505	25650	*	Ccpg1
chr9	73048856	73074505	25650	*	Ccpg1os
chr9	73078240	73096567	18328	*	Rab27a
chr9	73078240	73096567	18328	*	Ccpg1
chr9	73078240	73096567	18328	*	Ccpg1os
chr9	73106509	73106605	97	*	Rab27a
chr9	73106509	73106605	97	*	Ccpg1
chr9	73106509	73106605	97	*	Ccpg1os
chr9	73124494	73128449	3956	*	Rab27a
chr9	78358581	78364177	5597	*	Ooep
chr9	78372177	78374725	2549	*	Ooep
chr9	95521163	95523600	2438	*	Pcolce2
chr9	99102876	99107072	4197	*	Cep70
chr9	99130682	99133141	2460	*	Cep70
chr9	99150359	99164573	14215	*	Cep70
chr9	103087612	103089720	2109	*	Rab6b
chr9	108300869	108301948	1080	*	Amt
chr9	121285437	121286510	1074	*	Trak1
chr9	121308061	121320812	12752	*	Trak1
chr9	121329354	121353355	24002	*	Trak1
chr9	121354409	121356770	2362	*	Trak1
chr9	121371015	121374575	3561	*	Trak1
chrX	8216906	8225500	8595	*	Porcn
chrX	58018926	58020815	1890	*	Zic3
chrX	58037497	58043449	5953	*	Zic3
chrX	144333168	144340091	6924	*	Alg13
chrX	151040142	151042149	2008	*	Fgd1
chrX	153280873	153285698	4826	*	Klf8
